name,start_time,end_time,report,h_type,ini,end,h_max_flow,h_min_flow,h_ramp,h_delay,h_delayed_q,h_flow_penalty
"Inflow_Hid_Ancoa02",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa02","HG_Hid_Ancoa02",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa04",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa04","HG_Hid_Ancoa04",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa06",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa06","HG_Hid_Ancoa06",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa07",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa07","HG_Hid_Ancoa07",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa08",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa08","HG_Hid_Ancoa08",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa09",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa09","HG_Hid_Ancoa09",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa10",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa10","HG_Hid_Ancoa10",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa11",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa11","HG_Hid_Ancoa11",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa12",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa12","HG_Hid_Ancoa12",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa13",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa13","HG_Hid_Ancoa13",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa14",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa14","HG_Hid_Ancoa14",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa15",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa15","HG_Hid_Ancoa15",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa16",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa16","HG_Hid_Ancoa16",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa17",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa17","HG_Hid_Ancoa17",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa19",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa19","HG_Hid_Ancoa19",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa20",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa20","HG_Hid_Ancoa20",99999,0,99999,0,0,0
"Inflow_Hid_Charrua01",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Charrua01","HG_Hid_Charrua01",99999,0,99999,0,0,0
"Inflow_Hid_Charrua02",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Charrua02","HG_Hid_Charrua02",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa18",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa18","HG_Hid_Ancoa18",99999,0,99999,0,0,0
"Inflow_Hid_Cautin01",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Cautin01","HG_Hid_Cautin01",99999,0,99999,0,0,0
"Inflow_Hid_Charrua03",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Charrua03","HG_Hid_Charrua03",99999,0,99999,0,0,0
"Inflow_Hid_Charrua04",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Charrua04","HG_Hid_Charrua04",99999,0,99999,0,0,0
"Inflow_Hid_Charrua05",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Charrua05","HG_Hid_Charrua05",99999,0,99999,0,0,0
