name,start_time,end_time,report,connected,coordinates,busbari,busbarf,max_flow,max_flow_reverse,r,x,branch_associated_ess,branch_ovf_ab,branch_ovf_ba,dc,losses,binary_loss_model,candidate,branch_recourse,branch_recourse_start_time,dimensioned,branch_inv_cost,initial_investment,lifetime,voltage,owner
"L4_Ancoa500_NuevaCharrua500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Ancoa500","NuevaCharrua500",1500,1500,0.000612,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,148.6178949,0,40,500,None
"L5_NuevaPandeAzucar500_Polpaico500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaPandeAzucar500","Polpaico500",2300,2300,0.001806141,0.01,,0,0,true,true,false,true,false,1970-01-01-00:00,true,242.6666667,0,40,500,None
"L5_NuevaCardones500_NuevaMaitencillo500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaCardones500","NuevaMaitencillo500",2300,2300,0.000595555,0.0072,,0,0,true,true,false,true,false,1970-01-01-00:00,true,84.93333333,0,40,500,None
"L5_NuevaMaitencillo500_NuevaPandeAzucar500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaMaitencillo500","NuevaPandeAzucar500",2300,2300,0.000939236,0.005,,0,0,true,true,false,true,false,1970-01-01-00:00,true,113.0434783,0,40,500,None
"L5_Parinas500_NuevaCardones500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"Parinas500","NuevaCardones500",2300,2300,0.001482724,0.00536,,0,0,true,true,false,true,false,1970-01-01-00:00,true,164.6956522,0,40,500,None
"L5_LosChangos500_Parinas500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos500","Parinas500",2300,2300,0.001092,0.0062,,0,0,true,true,false,true,false,1970-01-01-00:00,true,121.3333333,0,40,500,None
"L5_Kimal500_AltoJahuel500",2034-01-01-00:00,2060-01-01-00:00,true,false,0,"Kimal500","AltoJahuel500",2200,2200,0.0029925,0.055555556,,0,0,true,true,false,true,false,1970-01-01-00:00,true,534.55,0,40,500,None
"L6_Kimal500_AltoJahuel500",2033-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","AltoJahuel500",3000,3000,0.0029925,0.055555556,,0,0,true,true,false,true,false,1970-01-01-00:00,true,540.71,0,40,500,None
"L7_Kimal500_AltoJahuel500",2034-01-01-00:00,2060-01-01-00:00,true,false,0,"Kimal500","AltoJahuel500",3500,3500,0.0029925,0.055555556,,0,0,true,true,false,true,false,1970-01-01-00:00,true,504.32,0,40,500,None
"L5_Parinas500_AltoJahuel500",2034-01-01-00:00,2060-01-01-00:00,true,false,0,"Parinas500","AltoJahuel500",2200,2200,0.0029925,0.055555556,,0,0,true,true,false,true,false,1970-01-01-00:00,true,464.78,0,40,500,None
"L6_Parinas500_AltoJahuel500",2033-01-01-00:00,2060-01-01-00:00,true,true,0,"Parinas500","AltoJahuel500",3000,3000,0.0029925,0.055555556,,0,0,true,true,false,true,false,1970-01-01-00:00,true,478.69,0,40,500,None
"L7_Parinas500_AltoJahuel500",2034-01-01-00:00,2060-01-01-00:00,true,false,0,"Parinas500","AltoJahuel500",3500,3500,0.0029925,0.055555556,,0,0,true,true,false,true,false,1970-01-01-00:00,true,451.16,0,40,500,None
"L5_Maitencillo500_AltoJahuel500",2034-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaMaitencillo500","AltoJahuel500",2200,2200,0.0029925,0.055555556,,0,0,true,true,false,true,false,1970-01-01-00:00,true,371.84,0,40,500,None
