name,start_time,end_time,report,fuel_type,fuel_price,availability,consider_availability
"Fuel_CHIFIN_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DREAMS_VALDIVIA_II_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_ATAJO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CAMPING_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PINARES_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DAGOBERTO_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAS_QUEMAS_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAGUNITAS_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EGIDO_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_HOLLEY_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_BELLET_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CEREZO_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_JARDIN_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CAMPING_C_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EXEQUIEL_FERNANDEZ_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PMGD_COYA_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAS_DALIAS_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_BERLIOZ_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LA_GLORIA-21_BIOMASA_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CMPC_LAJA_BL4_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CMPC_LAJA_BL5_fuel_oil",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_Las Mercedes_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_Chocalan 1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_Los Arrayanes_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_MAYOR POWER_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DO�A LUZMA_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_AGGREKO RM QUILICURA_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PMGD_ANDES 1_GN_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PMGD_LAS MERCEDES I_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PMGD_COLACO PARGUA_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_AMPLIACION_TENO GAS_GLP",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CALA MORRITOS_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CENIZAS_AMP_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_MARVER_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_QUETALMAHUE_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CANDELARIA_1_GNL_C_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CANDELARIA_2_GNL_C_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_NEHUENCO_1-TG+TV_GNL_C_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_NEHUENCO_2-TG+TV_GNL_C_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
