stage,block,NuevaCharrua500,Cumbre500,Pichirropulli500,Polpaico500,NuevaAncud500,AltoJahuel500,NuevaCardones500,Ancoa500,RioMalleco500,NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPuertoMontt500,Parinas500,NuevaZaldivar220,Kimal500,LosChangos500,Lagunas220,Kimal220,LosChangos220,Parinacota220,NuevaPozoAlmonte220,Quillota500,Rapel500,Concepcion500,Mulchen500,Candelaria500
194,7,0.0,35.19612507643607,143.35618034183693,2157.0259255581686,0.0,1864.7333671524743,276.0815677471005,700.6610971834848,0.0,511.6601954554082,158.4308534997819,317.2375931091017,2.0050789618457614,1246.293029023369,0.0,0.0,400.5055753127062,701.0911419034172,0.0,59.26764657818455,68.46071334047363,838.1816185452035,0.0,723.8153349652457,276.0724999366999,0.0
194,8,0.0,35.53007762687234,144.61688150528965,2213.2446156788847,0.0,1900.7912502382296,285.09742845325104,732.0616373383963,0.0,511.964000631693,152.71344511433674,316.1743218852072,2.001787095358939,1247.1513581829827,0.0,0.0,401.16413280146776,724.4905082739165,0.0,59.117674915685264,66.01999248715215,845.8991756160447,0.0,727.3820324094133,282.83345914060226,0.0
194,9,0.0,36.202930171557185,144.3440740024202,2141.659767512885,0.0,1863.1119017462433,287.0597392648176,718.7344431779145,0.0,494.09187898509254,163.12206043104,304.61301979391715,1.9698347029122423,1271.6032534029114,0.0,0.0,397.55489581149146,720.1213675898082,0.0,58.189004251122114,64.3627129004874,818.6159810081818,0.0,698.6749838024812,275.68700663353485,0.0
194,10,0.0,36.57893600909898,137.80082873233994,1995.0537051589781,0.0,1741.291647414688,281.8907255315855,690.417003221445,0.0,479.44637720094033,146.54157605370438,294.63244755473556,1.9669711594295034,1308.57418520982,0.0,0.0,394.5700054423693,731.3603882837597,0.0,54.260900378059006,63.503940746577086,788.352173017821,0.0,672.4642002222415,258.7075099683266,0.0
194,11,0.0,38.03348488684081,140.07009063949516,1982.3318422670477,0.0,1708.467929717889,295.28588948410754,684.4558365927949,0.0,514.5725342089976,77.89602483768999,300.01968827988225,1.9525188475168276,1273.4245849963727,0.0,0.0,402.4726951111128,765.1346755752044,0.0,58.97347140043375,75.52675087035871,830.5670385033321,0.0,687.8691175995793,269.25816468277924,0.0
194,12,0.0,39.74777463333281,144.0381990210691,1921.037810709558,0.0,1645.1957222522606,299.7070712387215,660.0720072272138,0.0,501.70795894409343,108.34488974773487,312.7151463050717,2.0351866586534384,1281.9450659990398,0.0,0.0,394.5871107781254,769.9673400538475,0.0,58.189004251122114,75.19529497366754,815.9156941376045,0.0,697.4310822780831,274.8863667121319,0.0
194,13,0.0,38.19427686954447,123.1064275693709,1722.2648005129383,0.0,1456.356360898013,292.17490890972925,590.7098467470914,0.0,429.7480505933828,123.92849270179866,282.3126786855846,2.039072745556886,1250.58467185326,0.0,0.0,375.4461806574402,769.1432977931734,0.0,52.36895019656035,74.05026542135928,741.5777129711832,0.0,625.8305834909163,228.44925230685084,0.0
194,14,0.0,38.26601481952373,106.1303641194725,1589.0447215790916,0.0,1292.702300302832,290.0510664813181,532.4574783845087,0.0,391.3114654541205,123.4007319865388,256.66657755399075,2.0508239723438026,1246.3139640739723,0.0,0.0,360.1283048619676,755.3577575935985,0.0,46.04129974943728,71.80540488728221,663.3437671948083,0.0,552.3007680362482,192.91270202398732,0.0
194,15,0.0,37.76384912556571,103.3816223817779,1526.8672266347237,0.0,1221.3008542758475,281.1967375415776,502.94021124144217,0.0,376.22597005695354,124.62484377717654,245.9842462632197,2.045334168741649,1243.5296300466637,0.0,0.0,354.43221042869885,733.346101211844,0.0,42.21702240756268,68.65657366487848,639.5961175192762,0.0,534.8480672074973,179.66359423918374,0.0
194,16,0.0,36.21777250789441,101.62077430986267,1501.9962293699025,0.0,1178.9674614722321,264.77435038014823,488.8156635493049,0.0,365.5508867730182,113.84239781944191,235.85481603391332,2.0697610233491828,1209.80359892808,0.0,0.0,340.1235525360638,715.2143104486461,0.0,39.25796618831142,66.69797050339713,607.3070944903255,0.0,510.24081670566494,171.84697654208657,0.0
194,17,0.0,33.647574731958265,113.39696247924022,1593.0842784256265,0.0,1280.0899294954042,260.999295242478,536.7176241766169,0.0,382.8468263193637,109.69361174047157,245.89918462164695,2.0074417087644925,1157.84332078185,0.0,0.0,338.575514936647,695.7091158769365,0.0,42.28047195468821,65.31188211806992,658.3894273644341,0.0,560.6019072878931,199.17548524456055,0.0
194,18,0.0,32.922774007642964,131.9396019856087,1761.9109499206513,0.0,1475.809562553893,267.80157363891067,599.2605138057656,0.0,426.96142439445964,111.10830382385628,272.842476608833,2.0099407040154738,1147.8364660272036,0.0,0.0,371.97378674630363,691.640407298846,0.0,51.174945048999575,68.6867060125553,747.1956826002727,0.0,646.9134462247359,229.06011091853944,0.0
194,19,0.0,32.43792438172902,138.0777695790878,1846.7172743626495,0.0,1583.141804690041,273.17998026234125,633.8352802725958,0.0,440.9050315742011,121.0038183638455,277.6555508229976,2.0050789618457614,1230.42441847383,0.0,0.0,380.7060877032594,707.6777573212541,0.0,55.07997636937158,70.82610330654153,781.624339730055,0.0,667.5647512324059,227.0555458249684,0.0
194,20,0.0,31.51275213401245,136.42025768659582,1816.9232573736476,0.0,1581.7526032282162,274.61581731629053,640.669738783324,0.0,441.46026170828736,112.06120518835012,273.04804237739484,2.001787095358939,1249.3704512856489,0.0,0.0,377.4731693273886,705.0139263070017,0.0,53.909043784873326,69.90706643663582,761.635351993063,0.0,658.3243393673732,231.84752388230436,0.0
194,21,0.0,29.1577682178148,130.84010533833504,1802.1237338585875,0.0,1542.8374344929503,276.3268566297058,633.8884371850361,0.0,442.8116705976051,112.93347646906759,263.3155667014788,1.9698347029122423,1261.7429430130987,0.0,0.0,372.15339331183003,729.3832591126811,0.0,52.230514818185185,68.88256633696014,752.0298825042264,0.0,636.0695013346271,222.4474183936104,0.0
194,22,0.0,33.25672655807924,132.79522542049926,1786.775854724355,0.0,1514.1988505072154,277.6131273976127,637.2297280641528,0.0,451.548686656332,109.81089189390482,259.6508253006159,1.9669711594295034,1282.0078701614586,0.0,0.0,373.47050824025433,744.216019682651,0.0,50.765407055936144,70.73570623770887,739.3751485004616,0.0,640.3089211150477,227.962937742799,0.0
194,23,0.0,35.3148637622335,136.42439113439627,1784.990651076479,0.0,1531.1190603048285,282.806071692739,620.9485289680918,0.0,488.1833933101775,114.37748862802599,267.0511928123466,1.9525188475168276,1305.789850687815,0.0,0.0,398.786483815641,765.849990023173,0.0,56.21053195943541,76.89777310506955,786.4757025314593,0.0,681.3195949728961,216.41000048156076,0.0
