name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
Isla de Maipo 012 II,AltoJahuel500,Profile_PV_AltoJahuel500,22.3094424,0.0,0.0,0.0,False
Isla de Maipo 023 I,AltoJahuel500,Profile_ElPicurio,26.30370938,0.0,0.0,0.0,False
Isla de Maipo 023 II,AltoJahuel500,Profile_ElPicurio,35.0716125,0.0,0.0,0.0,False
Itahue 066 I,AltoJahuel500,Profile_ElPicurio,8.767903126,0.0,0.0,0.0,False
Itahue 066 II,AltoJahuel500,Profile_ElPicurio,17.53580625,0.0,0.0,0.0,False
Itahue 13.2 I,AltoJahuel500,Profile_ElPicurio,7.793691667,0.0,0.0,0.0,False
JAMA_FV,NuevaZaldivar220,Profile_SOLARJAMA,51.0,0.0,0.0,0.0,False
JAVIERA_FV,Cumbre500,Profile_SolarJaviera,65.0,0.0,0.0,0.0,False
LALACKAMA_2_FV,Cumbre500,Profile_PV_Cumbre500,16.5,0.0,0.0,0.0,False
LALACKAMA_FV,Cumbre500,Profile_PV_Cumbre500,55.0,0.0,0.0,0.0,False
LAS_SALINAS_Fase1_FV,Kimal220,Profile_CERRODOMINADOR,58.6,0.0,0.0,0.0,False
LAS_SALINAS_Fase2_FV,Kimal220,Profile_CERRODOMINADOR,34.8,0.0,0.0,0.0,False
LAS_SALINAS_Fase3_FV,Kimal220,Profile_CERRODOMINADOR,122.8,0.0,0.0,0.0,False
LAS_SALINAS_Fase4_FV,Kimal220,Profile_CERRODOMINADOR,93.5,0.0,0.0,0.0,False
LAS_SALINAS_Fase5_FV,Kimal220,Profile_CERRODOMINADOR,30.1,0.0,0.0,0.0,False
LAS_SALINAS_Fase6_FV,Kimal220,Profile_CERRODOMINADOR,24.2,0.0,0.0,0.0,False
LA_CRUZ_FV,Kimal220,Profile_FINISTERRAE,50.0,0.0,0.0,0.0,False
LA_HUAYCA_2_FV,NuevaPozoAlmonte220,Profile_SPSLAHUAYCAII,24.99,0.0,0.0,0.0,False
LA_HUELLA_FV,NuevaMaitencillo500,Profile_FV_Kimal03,84.0,0.0,0.0,0.0,False
LEYDA_FV,AltoJahuel500,Profile_ElPicurio,80.0,0.0,0.0,0.0,False
LIBELULA_Y_PMGD_FV,Polpaico500,Profile_PV_Polpaico500,139.7,0.0,0.0,0.0,False
LIBERTAD_III_FV,NuevaMaitencillo500,Profile_ElPelicano,122.0,0.0,0.0,0.0,False
