time,scenario,L_NuevaCharrua500,L_Cumbre500,L_Pichirropulli500,L_Polpaico500,L_Ancud500,L_AltoJahuel500,L_NuevaCardones500,L_Ancoa500,L_RioMalleco500,L_NuevaPandeAzucar500,L_NuevaMaitencillo500,L_NuevaPuertoMontt500,L_Parinas500,L_NuevaZaldivar220,L_Kimal500,L_LosChangos500,L_Lagunas220,L_Kimal220,L_LosChangos220,L_Parinacota220,L_NuevaPozoAlmonte220,L_Quillota500,L_Rapel500,L_Concepcion500,L_Mulchen500,L_Candelaria500
2024-01-03-17:00,demanda_2024,0,45.2810211,147.4360588,2385.006594,0,2043.140604,307.4300135,700.49187,0,536.2432922,171.7555985,338.9494721,1.946501078,1478.568826,0,0,403.8851442,666.8909546,0,57.46218019,72.81356023,915.085341,0,724.6234864,272.0542089,0
2024-01-03-18:00,demanda_2024,0,44.83174453,142.71085,2261.219229,0,1933.396543,301.6699757,675.4974073,0,520.335398,182.2290414,330.3208273,1.959471333,1469.597287,0,0,393.7819189,660.1221763,0,53.8137878,71.70413149,889.5871888,0,707.6620021,257.8470352,0
2024-01-03-19:00,demanda_2024,0,45.79592235,136.8640008,2161.289587,0,1835.102158,294.8059309,654.7373007,0,506.418583,177.7826291,320.4556366,1.959471333,1426.305381,0,0,390.7335318,656.1592792,0,52.27879344,71.93769543,874.1194355,0,693.8262543,253.2334245,0
2024-01-03-20:00,demanda_2024,0,45.25073281,133.0376954,2116.158527,0,1771.079029,299.5459619,640.9462384,0,517.6391447,183.6176219,315.8763401,1.90740998,1444.883237,0,0,405.5574023,647.863427,0,56.78366818,72.6967783,844.4560223,0,691.2955184,250.6117945,0
2024-01-03-21:00,demanda_2024,0,45.45265487,138.5822585,2168.217181,0,1818.882504,317.0660765,650.0324607,0,560.7377159,184.7993926,321.2845301,1.90740998,1435.446194,0,0,421.827079,664.8720319,0,60.14285874,76.22943298,888.2588083,0,727.8840897,266.5247449,0
2024-01-03-22:00,demanda_2024,0,46.6944755,143.721122,2128.362578,0,1779.158611,312.5300469,640.0493782,0,546.6134971,188.152667,336.9247979,1.965647806,1413.948356,0,0,416.0438535,673.7065758,0,57.6290274,73.4558611,872.3069841,0,739.8634355,277.5035357,0
2024-01-03-23:00,demanda_2024,0,47.18918453,133.4990795,2016.384427,0,1669.224443,301.5979753,600.3228853,0,509.5089041,185.5970879,319.4500938,1.965647806,1440.905291,0,0,407.6128861,676.1611361,0,53.69143317,71.73332703,810.9875868,0,689.0027826,253.4165951,0
2024-01-04-00:00,demanda_2024,0,45.1144354,115.1312225,1779.015634,0,1444.335531,284.00586,531.7351392,0,448.2417339,171.8737756,282.041182,1.959844831,1394.18558,0,0,381.0657904,647.6057918,0,46.67272708,68.6386047,719.3856158,0,609.6059001,211.4819643,0
2024-01-04-01:00,demanda_2024,0,44.27645888,106.0069558,1691.983999,0,1325.984772,281.089841,500.0803873,0,418.1681399,172.8339643,265.7079049,1.959844831,1369.386892,0,0,369.7780489,642.0361881,0,43.14668931,67.17883004,658.5840617,0,568.2255905,191.5507079,0
2024-01-04-02:00,demanda_2024,0,43.74641346,99.25324837,1612.825174,0,1242.052168,267.0977493,479.9818989,0,402.9654196,172.9669135,255.4350616,1.946028769,1363.462292,0,0,351.4703077,628.8265308,0,39.96546911,67.7919354,633.7726146,0,535.1990895,174.0579108,0
2024-01-04-03:00,demanda_2024,0,44.52381339,97.15315559,1560.108459,0,1199.468016,266.1257429,461.2360519,0,391.1848669,168.5795898,247.2820114,1.946028769,1363.293017,0,0,349.9374047,624.0485697,0,38.07453403,68.31745428,613.9257085,0,519.8480735,167.2462522,0
2024-01-04-04:00,demanda_2024,0,43.89280695,96.42130508,1540.426435,0,1176.404481,262.3457182,462.5739908,0,384.9834844,166.1421878,242.2950624,1.960142911,1348.100648,0,0,349.5019207,600.4304518,0,36.52841652,68.2298678,598.987056,0,508.9714622,162.6326414,0
2024-01-04-05:00,demanda_2024,0,43.67069271,98.08387852,1522.575019,0,1181.399132,258.2296912,464.2647926,0,388.8619411,167.3091863,243.2734284,1.960142911,1330.115251,0,0,344.3283725,587.0287392,0,35.73867305,68.37584527,599.6625038,0,511.1372645,162.9188456,0
2024-01-04-06:00,demanda_2024,0,42.09065261,99.14187982,1516.233699,0,1190.26507,255.0376704,466.0438103,0,386.4353131,167.9887045,245.0263342,1.887601113,1321.312987,0,0,340.3741791,602.3697419,0,35.84990452,70.79907121,601.5312425,0,504.7667913,161.4878248,0
2024-01-04-07:00,demanda_2024,0,38.8094192,102.0851917,1560.539191,0,1254.616567,244.6216021,487.112672,0,383.8842427,159.878803,252.3776678,1.887601113,1282.083664,0,0,325.4980508,584.8973938,0,36.32819986,66.27376975,604.8634513,0,518.6660057,169.169544,0
2024-01-04-08:00,demanda_2024,0,38.4560556,111.4003759,1741.649701,0,1409.830961,244.5016013,549.4076946,0,409.9134568,154.3392529,268.7924755,1.806405097,1236.548873,0,0,327.3445023,571.7486321,0,39.7986219,64.05491226,658.1112482,0,570.8039265,201.3159932,0
2024-01-04-09:00,demanda_2024,0,39.05677371,121.6303733,1903.018365,0,1558.253322,248.425627,599.2054858,0,428.3931619,161.8434968,289.5012229,1.806405097,1191.056401,0,0,355.8948238,568.347848,0,43.75846242,62.85789704,717.4380747,0,620.1413778,226.730921,0
